car,price,body,miles,engV,engType,registration,year,model,drive,Age
Skoda,12500,sedan,127,1.8,Petrol,yes,2009,Superb,front,10
Mercedes-Benz,3799,van,350,2.2,Diesel,yes,2000,Vito груз.,front,19
Toyota,10900,sedan,156,NA,Gas,yes,2005,Camry,front,14
Toyota,27400,crossover,52,3.5,Gas,yes,2012,Venza,full,7
BMW,8200,sedan,241,2,Petrol,yes,1998,320,rear,21
Toyota,25500,sedan,58,2.5,Petrol,yes,2015,Camry,front,4
Chevrolet,11900,sedan,40,1.8,Petrol,yes,2011,Cruze,front,8
Nissan,6900,hatch,140,1.6,Petrol,yes,2007,TIIDA,front,12
Volkswagen,69990,van,1,5,Diesel,yes,2015,Multivan,full,4
Volkswagen,69990,van,1,2,Diesel,yes,2015,Multivan,full,4
Mazda,2900,hatch,245,NA,Petrol,yes,1996,323,front,23
Chevrolet,10000,sedan,38,1.8,Petrol,yes,2010,Cruze,front,9
Audi,48000,crossover,75,3,Diesel,yes,2013,Q7,full,6
Volkswagen,9000,sedan,130,1.6,Petrol,yes,2012,Polo,front,7
Volkswagen,9999,hatch,118,1.2,Diesel,yes,2011,Polo,front,8
Mitsubishi,6700,sedan,155,1.6,Gas,yes,2007,Lancer,front,12
Hyundai,11100,sedan,63,1.4,Petrol,yes,2013,Accent,front,6
BMW,32500,vagon,65,2,Petrol,yes,2014,328,rear,5
Toyota,9999,sedan,250,2.4,Petrol,yes,2003,Camry,front,16
Mercedes-Benz,0,crossover,0,4.7,Petrol,yes,2016,GLS 500,full,3
Mazda,7750,sedan,130,1.6,Petrol,yes,2007,3,front,12
Mitsubishi,6900,sedan,118,1.6,Petrol,yes,2007,Lancer,front,12
Mazda,10500,crossover,135,2.3,Petrol,yes,2007,CX-7,full,12
Toyota,15600,sedan,165,3.5,Gas,yes,2008,Camry,front,11
Skoda,22222,sedan,80,2,Diesel,yes,2014,Octavia A7,front,5
Honda,20500,crossover,78,2,Gas,yes,2012,CR-V,full,7
Ford,22000,crossover,95,1.6,Petrol,yes,2013,Kuga,full,6
Mazda,11900,other,105,2.3,Petrol,yes,2008,CX-7,full,11
Hyundai,6800,sedan,107,1.4,Gas,yes,2007,Accent,front,12
Toyota,20999,sedan,77,2.5,Gas,yes,2012,Camry,front,7
Kia,23000,crossover,70,2.2,Diesel,yes,2013,Sorento,full,6
Land Rover,0,crossover,56,3,Diesel,no,2014,Range Rover Sport,full,5
Toyota,22800,other,55,2.5,Petrol,yes,2013,Camry,full,6
Toyota,14900,sedan,149,3.5,Gas,yes,2008,Camry,front,11
Kia,11900,crossover,130,2.5,Diesel,yes,2008,Sorento,full,11
Audi,48000,crossover,126,3,Diesel,yes,2013,Q7,full,6
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63,full,3
Volkswagen,10500,sedan,100,1.8,Petrol,yes,2008,Passat B6,front,11
Lexus,134999,crossover,0,4.5,Diesel,yes,2016,LX 450,full,3
Seat,11500,hatch,55,1.6,Petrol,yes,2010,Ibiza,front,9
Volkswagen,1650,sedan,210,1.8,Petrol,no,1998,Passat B4,front,21
Geely,7350,sedan,37,1.5,Petrol,yes,2014,Emgrand 7 (EC7),front,5
Toyota,20900,crossover,69,2.7,Petrol,yes,2008,Land Cruiser Prado,full,11
Mercedes-Benz,7999,van,255,2.2,Diesel,yes,2004,Vito пасс.,front,15
Honda,16500,crossover,113,2.4,Petrol,yes,2008,CR-V,full,11
Lexus,17400,crossover,172,3.5,Petrol,yes,2007,RX 350,full,12
Hyundai,22600,crossover,89,2.2,Diesel,yes,2012,Santa FE,full,7
Volkswagen,7500,van,317,1.9,Diesel,yes,2008,T5 (Transporter) груз,front,11
Toyota,20800,crossover,70,2.7,Petrol,yes,2008,Land Cruiser Prado,full,11
Volkswagen,25200,crossover,78,2,Diesel,yes,2012,Tiguan,full,7
Honda,14500,sedan,78,2,Petrol,yes,2010,Accord,front,9
Ford,14500,sedan,195,1.6,Petrol,yes,2011,Mondeo,full,8
Mercedes-Benz,3150,vagon,220,1.7,Other,no,2001,A 170,front,18
Kia,7700,hatch,120,1.4,Gas,yes,2009,Ceed,front,10
Renault,7100,van,208,1.5,Diesel,yes,2008,Kangoo пасс.,front,11
Honda,2600,sedan,220,2,Petrol,yes,1990,Accord,front,29
Honda,12500,sedan,130,2,Petrol,yes,2008,Accord,front,11
Toyota,32900,crossover,82,2.7,Petrol,yes,2013,Venza,full,6
Audi,36000,vagon,40,3,Diesel,yes,2010,Q7,full,9
Mercedes-Benz,23500,van,170,2.2,Diesel,yes,2011,Vito пасс.,rear,8
Ford,16400,crossover,87,2.5,Petrol,yes,2010,Kuga,full,9
Renault,3100,van,164,1.4,Petrol,yes,1999,Kangoo пасс.,front,20
Toyota,25000,crossover,115,5.7,Petrol,yes,2007,Tundra,full,12
Seat,3000,sedan,335,1.8,Petrol,yes,1993,Cordoba,front,26
VAZ,1700,other,60,1.6,Other,yes,1983,2121,full,36
Renault,7400,vagon,242,1.5,Diesel,yes,2007,Megane,front,12
Audi,23000,crossover,180,3.6,Gas,yes,2007,Q7,full,12
Volkswagen,8650,van,238,2.5,Diesel,yes,2002,T4 (Transporter) пасс.,front,17
Honda,12200,hatch,82,1.8,Petrol,yes,2009,Civic,front,10
Opel,5490,sedan,180,1.4,Petrol,yes,2007,Astra G,front,12
Volkswagen,9300,van,220,2.5,Diesel,yes,2003,T4 (Transporter) пасс.,front,16
Hyundai,6500,van,170,1.6,Petrol,yes,2005,Matrix,front,14
BMW,3500,sedan,334,2,Diesel,no,1999,320,rear,20
Land Rover,32500,crossover,86,5,Petrol,yes,2010,Range Rover Sport,full,9
Hyundai,13500,crossover,168,2.2,Diesel,yes,2007,Santa FE,full,12
Mitsubishi,6500,sedan,152,1.6,Petrol,yes,2007,Lancer,front,12
Volkswagen,11300,van,165,1.9,Diesel,yes,2010,Caddy пасс.,front,9
BMW,17500,vagon,125,3,Diesel,yes,2006,530,full,13
Land Rover,0,crossover,1,4.4,Diesel,yes,2016,Range Rover,full,3
Mercedes-Benz,2499,sedan,300,3,Diesel,no,1999,E-Class,rear,20
Audi,21000,hatch,34,1.4,Petrol,yes,2013,A3,front,6
Toyota,22999,crossover,152,4,Gas,yes,2008,Land Cruiser Prado,full,11
BMW,58000,crossover,64,2,Diesel,yes,2015,X5,full,4
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full,3
Land Rover,0,crossover,0,3,Diesel,yes,2016,Range Rover Sport,full,3
Toyota,2499,vagon,254,2,Diesel,no,2000,Avensis,front,19
Mercedes-Benz,109999,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
BMW,4000,sedan,230,2,Diesel,no,2003,320,rear,16
Mazda,11300,other,108,2.3,Petrol,yes,2008,CX-7,full,11
Audi,15000,vagon,154,2,Diesel,yes,2008,A6,front,11
Opel,4500,sedan,336,2,Gas,yes,1998,Omega,rear,21
Mercedes-Benz,107999,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Mazda,2200,vagon,250,2,Diesel,no,2000,626,front,19
Toyota,9900,sedan,130,2.3,Gas,yes,2006,Camry,front,13
Volkswagen,32000,sedan,144,3.6,Petrol,yes,2013,Passat CC,full,6
Mitsubishi,7650,sedan,133,1.5,Gas,yes,2008,Lancer,front,11
Skoda,12500,sedan,225,1.8,Gas,yes,2009,Superb,front,10
Audi,19700,crossover,172,3.6,Petrol,yes,2007,Q7,full,12
Ford,15300,vagon,78,NA,Petrol,yes,2014,Focus,front,5
Toyota,14000,sedan,25,2.5,Petrol,yes,2014,Camry,front,5
Renault,8300,van,217,1.9,Diesel,yes,2004,Trafic пасс.,front,15
Kia,6999,hatch,124,1.4,Petrol,yes,2008,Rio,front,11
Volkswagen,13900,other,170,1.9,Diesel,yes,2006,Multivan,front,13
Volkswagen,6200,van,180,2,Diesel,yes,2005,Caddy пасс.,front,14
Hyundai,12800,crossover,219,2.7,Gas,yes,2007,Santa FE,full,12
BMW,69999,crossover,71,4.4,Petrol,yes,2011,X5 M,full,8
Honda,12500,other,52,2.4,Petrol,yes,2008,Accord,front,11
Volkswagen,16800,other,164,2,Diesel,yes,2010,T5 (Transporter) пасс.,front,9
Honda,13500,sedan,111,2.4,Gas,yes,2009,Accord,front,10
Porsche,37500,crossover,42,4.8,Petrol,yes,2009,Cayenne,full,10
Mitsubishi,11500,sedan,72,2.4,Petrol,yes,2006,Lancer Evolution,full,13
Mercedes-Benz,69900,sedan,76,6,Petrol,yes,2010,S 65 AMG,rear,9
Mitsubishi,7300,sedan,137,1.6,Gas,yes,2006,Lancer,front,13
Peugeot,11200,sedan,59,1.6,Petrol,yes,2013,301,front,6
Volkswagen,9000,sedan,223,2.5,Diesel,yes,2007,T5 (Transporter) пасс.,front,12
Volkswagen,0,hatch,100,2,Petrol,yes,2013,Golf GTI,front,6
Daewoo,3900,sedan,130,1.5,Gas,yes,2006,Lanos,front,13
Toyota,13000,crossover,149,2,Petrol,yes,2006,Rav 4,full,13
Volkswagen,1850,other,200,1.6,Petrol,no,1999,Golf IV,front,20
Kia,10900,crossover,148,3.3,Gas,yes,2007,Sorento,full,12
Mazda,11700,vagon,127,2.3,Petrol,yes,2006,CX-7,front,13
Volkswagen,9200,vagon,107,1.6,Petrol,yes,2010,Golf Variant,front,9
Tesla,61900,sedan,22,NA,Other,yes,2013,Model S,rear,6
Toyota,15700,sedan,108,NA,Petrol,yes,2008,Camry,front,11
Hyundai,9250,crossover,192,2,Diesel,yes,2008,Tucson,full,11
Kia,15200,vagon,87,1.6,Diesel,yes,2013,Ceed,front,6
Ford,26900,crossover,47,2,Diesel,yes,2015,Kuga,full,4
Subaru,43900,vagon,0,2,Diesel,yes,2016,Outback,full,3
Skoda,10900,vagon,95,2,Petrol,yes,2008,Octavia A5,full,11
Volkswagen,17777,van,250,2,Diesel,yes,2010,T5 (Transporter) пасс.,full,9
Volkswagen,3950,hatch,288,1.8,Gas,yes,1996,Golf III,front,23
Hyundai,13838.175,hatch,1,1.6,Diesel,yes,2015,i30,front,4
Kia,19395.675,crossover,1,1.7,Diesel,yes,2015,Sportage,front,4
Citroen,23000,van,52,1.6,Diesel,yes,2015,Grand C4 Picasso,front,4
Nissan,16431.675,crossover,1,1.6,Petrol,yes,2015,Juke,front,4
Toyota,16672.5,hatch,1,1.6,Petrol,yes,2016,Auris,front,3
Kia,14712.555,sedan,1,1.6,Petrol,yes,2015,Cerato,front,4
Honda,10800,sedan,133,2,Petrol,yes,2008,Accord,front,11
BMW,12900,vagon,260,3,Diesel,yes,2004,330,rear,15
Lexus,15300,crossover,162,3.3,Petrol,yes,2006,RX 300,full,13
BMW,77777,crossover,1,3,Diesel,yes,2014,X6,full,5
Mercedes-Benz,70000,other,21,6,Petrol,yes,2008,S 600,rear,11
Mitsubishi,19400,crossover,78,NA,Petrol,yes,2012,Outlander XL,full,7
Hyundai,12700,crossover,104,2,Gas,yes,2009,Tucson,full,10
Mercedes-Benz,109000,crossover,0,3.5,Diesel,yes,2016,GLS 350,full,3
BMW,17000,vagon,158,2,Diesel,yes,2010,320,rear,9
Mercedes-Benz,99000,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Mitsubishi,15500,crossover,102,3,Petrol,yes,2009,Outlander XL,full,10
Honda,0,other,116,2.4,Petrol,yes,2008,Accord,front,11
Volkswagen,28900,crossover,1,2,Petrol,yes,2016,Tiguan,full,3
BMW,13700,sedan,254,3,Diesel,yes,2003,530,front,16
Mazda,3900,sedan,80,2,Petrol,yes,1997,Xedos 6,front,22
Mercedes-Benz,177000,crossover,0,5.5,Petrol,yes,2016,GLS 63,full,3
Mitsubishi,12200,crossover,140,2.4,Petrol,yes,2007,Outlander XL,full,12
Mercedes-Benz,13900,other,168,5,Petrol,yes,2002,CL 500,rear,17
Chevrolet,9750,hatch,98,1.6,Petrol,yes,2011,Cruze,front,8
Honda,12000,sedan,119,2,Petrol,yes,2007,Accord,front,12
Chevrolet,34000,other,51,3.6,Petrol,yes,2012,Camaro,rear,7
Opel,1820,sedan,110,1.6,Gas,yes,1988,Ascona,front,31
BMW,15300,sedan,250,2.5,Petrol,yes,2006,525,rear,13
Hyundai,6999,sedan,95,1.4,Gas,yes,2009,Accent,front,10
Volkswagen,11500,van,163,2.5,Diesel,yes,2008,T5 (Transporter) пасс.,front,11
Kia,22000,crossover,29,2,Gas,yes,2013,Sportage,full,6
Audi,0,sedan,300,2.5,Diesel,no,2001,A8,front,18
Honda,7499,other,287,3,Petrol,yes,2002,Accord,front,17
Toyota,15000,crossover,184,2.7,Gas,yes,2005,Land Cruiser Prado,full,14
Mitsubishi,0,crossover,120,2,Gas,yes,2008,Outlander,full,11
Mitsubishi,13200,crossover,79,2.4,Gas,yes,2009,Outlander,full,10
Seat,1850,hatch,250,1.1,Petrol,yes,1994,Ibiza,front,25
Mercedes-Benz,6500,van,450,2.3,Diesel,yes,1996,Vito пасс.,front,23
Mercedes-Benz,295000,sedan,29,6,Petrol,yes,2011,S-Guard,rear,8
Mercedes-Benz,4300,van,300,2.2,Diesel,no,2005,Vito пасс.,rear,14
Honda,25900,other,54,3.5,Petrol,yes,2012,Crosstour,full,7
Mercedes-Benz,12600,sedan,300,2.7,Diesel,yes,2003,E-Class,rear,16
BMW,29500,sedan,230,3,Diesel,yes,2011,530,rear,8
VAZ,5700,hatch,120,1.6,Petrol,yes,2012,2172,front,7
Volkswagen,55500,crossover,36,3,Diesel,yes,2015,Touareg,full,4
Skoda,7900,vagon,180,1.8,Petrol,yes,2006,Octavia Tour,full,13
Volkswagen,15000,van,275,2.5,Diesel,yes,2008,T5 (Transporter) пасс.,front,11
Mercedes-Benz,12500,van,238,2.2,Diesel,yes,2008,Vito пасс.,rear,11
Volkswagen,9500,van,212,1.9,Diesel,yes,2006,T5 (Transporter) пасс.,front,13
Chevrolet,5800,sedan,120,1.5,Petrol,yes,2007,Aveo,front,12
Volkswagen,18200,hatch,23,1.4,Petrol,yes,2013,Golf VI,front,6
Cadillac,47000,crossover,23,6.2,Petrol,yes,2008,Escalade,full,11
Mercedes-Benz,38700,sedan,117,5.5,Petrol,yes,2010,S 550,full,9
Volkswagen,13700,other,103,2,Diesel,yes,2013,T5 (Transporter) груз,front,6
Chevrolet,9200,sedan,62,1.8,Petrol,yes,2013,Cruze,front,6
Audi,22500,vagon,175,2,Gas,yes,2010,A4 Allroad,full,9
Mitsubishi,6800,sedan,170,1.6,Petrol,yes,2004,Lancer,front,15
Renault,6250,van,205,1.6,Petrol,yes,2007,Scenic,front,12
Land Rover,162000,crossover,21,4.4,Diesel,yes,2015,Range Rover,full,4
Mercedes-Benz,24800,vagon,118,3,Diesel,yes,2010,E-Class,full,9
Volkswagen,8800,van,260,2.5,Diesel,yes,2008,T5 (Transporter) груз,front,11
Nissan,9200,crossover,126,NA,Other,yes,2005,X-Trail,full,14
Volkswagen,9950,hatch,95,1.4,Petrol,yes,2010,Polo,front,9
Renault,6800,sedan,152,1.6,Petrol,yes,2007,Megane,front,12
BMW,16999,vagon,213,3,Diesel,yes,2007,530,full,12
Audi,22500,sedan,159,5.2,Petrol,yes,2008,S8,full,11
BMW,11900,sedan,160,2.5,Petrol,yes,2005,525,rear,14
ZAZ,4580,other,82,1.2,Petrol,yes,2008,110557,front,11
Hyundai,10000,sedan,19,1.4,Petrol,yes,2011,Accent,front,8
Peugeot,4800,van,170,1.9,Diesel,yes,2011,Partner груз.,front,8
Acura,15000,sedan,150,3.5,Gas,yes,2008,RL,full,11
Kia,10500,van,172,2.9,Diesel,yes,2008,Carnival,front,11
Volkswagen,17000,van,157,2,Diesel,yes,2010,T5 (Transporter) пасс.,full,9
Volkswagen,27000,sedan,85,2,Diesel,yes,2013,Passat CC,front,6
Honda,12300,other,140,2.4,Petrol,yes,2008,Accord,front,11
Ford,10500,other,184,2.2,Diesel,yes,2013,Transit груз.,front,6
Ford,10400,other,194,2.2,Diesel,yes,2013,Transit груз.,front,6
Volkswagen,24000,sedan,67,1.8,Petrol,yes,2012,Passat CC,front,7
Volkswagen,9800,hatch,98,1.6,Gas,yes,2010,Golf V,front,9
Mercedes-Benz,14500,sedan,138,2,Petrol,yes,2007,E-Class,rear,12
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full,3
VAZ,1900,hatch,40,1.5,Petrol,yes,1990,2109,front,29
Daewoo,3350,sedan,175,1.4,Petrol,yes,2008,Lanos,front,11
Toyota,10200,sedan,180,2.4,Petrol,yes,2003,Camry,front,16
Land Rover,42000,crossover,60,2,Petrol,yes,2012,Range Rover Evoque,full,7
Volkswagen,9000,hatch,95,1.6,Gas,yes,2005,Golf V,front,14
Volkswagen,11500,sedan,169,1.8,Petrol,yes,2008,Passat B6,front,11
Mercedes-Benz,9500,van,248,2.2,Diesel,yes,2005,Vito пасс.,rear,14
Mercedes-Benz,32800,crossover,109,3,Diesel,yes,2011,ML 350,full,8
Volkswagen,9750,van,159,1.9,Diesel,yes,2009,Caddy пасс.,front,10
Volkswagen,10250,sedan,144,2,Diesel,yes,2008,Passat B6,front,11
Nissan,12450,crossover,169,2,Petrol,yes,2008,X-Trail,full,11
Renault,2500,sedan,170,1.9,Diesel,no,2003,Scenic,front,16
Audi,22000,crossover,152,4.2,Petrol,yes,2007,Q7,full,12
Seat,10199,hatch,98,1.6,Petrol,yes,2009,Leon,front,10
Mercedes-Benz,8000,other,230,2.2,Diesel,yes,2001,Vito пасс.,front,18
Mercedes-Benz,4800,sedan,199,3.2,Diesel,yes,1999,E-Class,front,20
Ford,5400,hatch,82,1.25,Petrol,yes,2007,Fiesta,front,12
Volkswagen,0,vagon,160,1.9,Diesel,yes,2003,Passat B5,front,16
Hyundai,3950,crossover,220,2.9,Diesel,no,2002,Terracan,full,17
Chevrolet,4950,sedan,127,1.5,Petrol,yes,2008,Aveo,front,11
Mercedes-Benz,54500,sedan,29,3,Diesel,yes,2012,CLS 350,rear,7
Porsche,112000,sedan,14,4.8,Other,yes,2013,Panamera,full,6
Volkswagen,49999,van,59,2,Diesel,yes,2014,Multivan,full,5
BMW,13500,crossover,250,3,Diesel,no,2006,X5,full,13
Lexus,17500,crossover,150,NA,Gas,yes,2007,RX 350,full,12
Mercedes-Benz,13900,sedan,216,2.2,Diesel,yes,2007,E-Class,rear,12
BMW,3200,sedan,237,2.5,Petrol,yes,1990,525,rear,29
Land Rover,0,crossover,1,4.4,Diesel,yes,2016,Range Rover,full,3
Toyota,13500,crossover,131,2.4,Gas,yes,2006,Rav 4,full,13
Toyota,8650,sedan,132,1.6,Petrol,yes,2008,Corolla,front,11
Hyundai,21900,crossover,71,2.2,Diesel,yes,2012,Santa FE,full,7
Skoda,21300,sedan,2,1.4,Petrol,yes,2016,Octavia A7,front,3
Mercedes-Benz,7300,van,245,2.2,Diesel,yes,2002,Vito пасс.,front,17
Opel,10350,vagon,95,1.4,Petrol,yes,2012,Astra J,front,7
Toyota,13999,sedan,198,2.4,Gas,yes,2009,Camry,front,10
Mitsubishi,9800,sedan,56,1.5,Petrol,yes,2011,Lancer X,front,8
Skoda,7200,hatch,172,1.6,Petrol,yes,2006,Octavia Tour,front,13
Volkswagen,17800,sedan,180,3,Diesel,yes,2007,Touareg,full,12
Kia,7900,sedan,140,1.6,Diesel,yes,2008,Cerato,front,11
Toyota,8900,hatch,140,1.6,Petrol,yes,2008,Auris,front,11
Daewoo,4600,sedan,57,1.3,Gas,yes,2011,Sens,front,8
Volkswagen,13499,van,154,2,Diesel,yes,2013,T5 (Transporter) груз,front,6
Mercedes-Benz,6950,other,190,2.2,Diesel,yes,1999,Vito пасс.,front,20
Mercedes-Benz,10250,sedan,261,1.8,Petrol,yes,2003,E-Class,rear,16
Kia,11400,crossover,114,2.5,Diesel,yes,2008,Sorento,full,11
SsangYong,16700,crossover,39,2.7,Diesel,yes,2013,Rexton II,full,6
BMW,29900,crossover,182,3,Petrol,yes,2008,X6,full,11
Toyota,13500,sedan,144,3.5,Gas,yes,2007,Camry,front,12
Hyundai,5400,sedan,102,1.5,Diesel,yes,2008,Accent,front,11
Renault,2300,van,200,1.9,Diesel,yes,2002,Kangoo груз.,front,17
SsangYong,12300,van,107,2.7,Diesel,yes,2008,Rodius,full,11
Mitsubishi,13900,vagon,93,3,Gas,yes,2007,Outlander XL,full,12
Kia,11800,crossover,52,2.5,Diesel,yes,2008,Sorento,full,11
Skoda,11900,other,120,NA,Petrol,yes,2010,Octavia A5,front,9
Mazda,25800,sedan,9,2,Petrol,yes,2016,6,front,3
Mazda,5850,sedan,270,2,Petrol,yes,2003,6,front,16
Mercedes-Benz,5500,sedan,199,NA,Petrol,yes,2000,E-Class,front,19
Volkswagen,13900,crossover,156,2,Diesel,yes,2012,T6 (Transporter) груз,front,7
Mercedes-Benz,82555,crossover,69,3,Diesel,yes,2014,GL 350,full,5
Kia,11764.116,hatch,1,1.4,Petrol,yes,2015,Rio,front,4
Ford,12500,sedan,99,1.6,Petrol,yes,2012,Mondeo,front,7
BMW,8999,sedan,221,4.5,Petrol,yes,2002,745,rear,17
Toyota,23499,crossover,174,4,Gas,yes,2008,Land Cruiser Prado,full,11
Mercedes-Benz,28950,sedan,40,1.8,Petrol,yes,2014,C-Class,rear,5
BMW,9400,sedan,221,4.4,Gas,yes,2004,745,rear,15
Lexus,13800,crossover,156,4,Other,yes,2006,RX 400,full,13
Audi,14200,vagon,200,2.7,Diesel,yes,2006,A6,front,13
Volkswagen,10000,van,224,2.5,Diesel,yes,2006,T5 (Transporter) пасс.,front,13
Toyota,11999,sedan,147,2.4,Petrol,yes,2010,Camry,front,9
Chevrolet,10500,sedan,67,1.8,Petrol,yes,2011,Cruze,front,8
Renault,9600,van,175,2,Diesel,yes,2007,Trafic пасс.,front,12
Mazda,12900,sedan,65,2,Gas,yes,2009,6,front,10
Skoda,11950,hatch,117,1.6,Gas,yes,2012,Octavia A5,front,7
BMW,51900,crossover,106,3,Diesel,yes,2012,X6,full,7
Volkswagen,9555,sedan,174,2,Petrol,yes,2007,Passat B6,front,12
Audi,31500,sedan,140,2,Diesel,yes,2012,A6,front,7
Honda,12399,sedan,90,2.4,Petrol,yes,2008,Accord,front,11
Mazda,10500,sedan,121,2.3,Petrol,yes,2008,6 MPS,full,11
Skoda,14600,sedan,58,1.8,Petrol,yes,2012,Octavia A5,front,7
Mercedes-Benz,17300,sedan,107,1.8,Petrol,yes,2008,C-Class,rear,11
Mazda,10800,hatch,93,1.6,Gas,yes,2011,3,front,8
Volkswagen,22600,crossover,187,3,Diesel,yes,2008,Touareg,full,11
Skoda,8600,hatch,240,2,Petrol,yes,2003,Octavia Tour,front,16
Kia,6300,sedan,164,1.6,Petrol,yes,2007,Cerato,front,12
Toyota,28350,crossover,92,2.2,Diesel,yes,2013,Rav 4,full,6
Lexus,21500,sedan,100,2.5,Petrol,yes,2008,IS 250,full,11
Mercedes-Benz,4500,sedan,409,2.6,Petrol,yes,1991,E-Class,rear,28
Volkswagen,2200,sedan,272,1.9,Diesel,no,1998,Passat B5,front,21
Mercedes-Benz,9500,other,220,2.2,Diesel,yes,2005,Vito пасс.,rear,14
Hyundai,14900,crossover,172,2.2,Diesel,yes,2007,Santa FE,full,12
BMW,6500,sedan,300,2.8,Gas,yes,1997,528,rear,22
Honda,3200,sedan,330,1.4,Petrol,yes,1998,Civic,front,21
Nissan,16800,crossover,150,2,Petrol,yes,2012,X-Trail,full,7
BMW,18000,sedan,245,2.5,Petrol,yes,2007,523,rear,12
VAZ,0,hatch,12,1.3,Gas,yes,1986,2108,front,33
Renault,13600,vagon,164,1.5,Diesel,yes,2013,Grand Scenic,front,6
Subaru,12000,crossover,150,3,Petrol,yes,2006,Tribeca,full,13
ZAZ,2100,sedan,88,1.2,Gas,yes,2007,1103 Славута,front,12
Audi,12600,sedan,294,3,Gas,yes,2004,A8,front,15
Renault,5900,hatch,171,1.5,Other,yes,2005,Megane,front,14
Volkswagen,17900,crossover,167,3,Diesel,yes,2007,Touareg,full,12
Mitsubishi,8300,crossover,161,2,Petrol,yes,2005,Outlander,full,14
VAZ,900,sedan,100,1.5,Gas,yes,1986,2106,rear,33
Mercedes-Benz,18500,other,90,1.8,Petrol,yes,2008,C-Class,rear,11
VAZ,1250,sedan,150,99.99,Gas,yes,1987,2105,rear,32
Mercedes-Benz,5200,sedan,432,3,Diesel,yes,1992,E-Class,rear,27
Skoda,11500,vagon,85,1.4,Petrol,yes,2011,Octavia A5,front,8
Mazda,22300,sedan,29,2,Petrol,yes,2015,6,front,4
Mercedes-Benz,8600,sedan,240,3.2,Diesel,yes,2001,E-Class,rear,18
Mercedes-Benz,8500,van,281,2.2,Diesel,yes,2004,Vito пасс.,rear,15
Audi,3150,vagon,310,2.5,Diesel,no,1999,A6,front,20
Honda,8600,sedan,117,1.8,Petrol,yes,2008,Civic,front,11
Volkswagen,16999,sedan,0,1.6,Petrol,yes,2016,Jetta,front,3
Hyundai,9999,sedan,42,1.4,Petrol,yes,2011,Accent,front,8
Volkswagen,16200,hatch,44,1.4,Petrol,yes,2012,Golf VI,front,7
Toyota,13699,crossover,160,2,Petrol,yes,2007,Rav 4,full,12
Renault,11200,van,157,1.5,Diesel,yes,2012,Grand Scenic,front,7
Volkswagen,3950,hatch,280,NA,Gas,yes,1996,Golf III,front,23
Volkswagen,71138,crossover,0,3,Diesel,yes,2016,Touareg,full,3
Renault,7440,other,148,1.5,Diesel,yes,2012,Kangoo груз.,front,7
Daewoo,3000,sedan,178,1.4,Petrol,yes,2007,Lanos,front,12
Volkswagen,66346,crossover,0,3,Diesel,yes,2016,Touareg,full,3
Skoda,8000,sedan,250,1.6,Petrol,yes,2007,Octavia A5,front,12
Mercedes-Benz,219900,crossover,30,6.3,Petrol,yes,2013,G 63 AMG,full,6
Volkswagen,8700,vagon,250,1.9,Diesel,yes,2002,Passat B5,full,17
Mercedes-Benz,23800,sedan,195,2.2,Diesel,yes,2010,E-Class,rear,9
Mercedes-Benz,24900,sedan,140,5.5,Petrol,yes,2009,S 550,full,10
Renault,8900,van,150,2,Diesel,yes,2009,Trafic груз.,front,10
Volkswagen,5999,van,300,1.8,Gas,yes,1999,Sharan,front,20
Mitsubishi,9300,sedan,95,2,Petrol,yes,2007,Lancer X,front,12
Mercedes-Benz,40000,other,119,6.3,Petrol,yes,2008,ML 63 AMG,full,11
Volkswagen,19200,crossover,155,2.5,Diesel,yes,2008,Touareg,full,11
Renault,9500,van,275,2,Diesel,yes,2008,Trafic пасс.,front,11
Mercedes-Benz,7700,van,300,2.2,Other,yes,2004,Vito пасс.,rear,15
Volkswagen,42500,crossover,63,3,Diesel,yes,2014,Touareg,full,5
Aston Martin,65000,other,37,6,Petrol,yes,2006,DB9,rear,13
Mercedes-Benz,9500,vagon,180,3.2,Diesel,yes,2002,E-Class,rear,17
Mercedes-Benz,0,crossover,0,4.6,Petrol,yes,2016,GLS 500,full,3
Mercedes-Benz,3900,sedan,375,2,Petrol,yes,1990,190,rear,29
Toyota,43999,other,1,2.8,Diesel,yes,2016,Hilux,full,3
Mazda,12000,crossover,148,2.3,Gas,yes,2008,CX-7,full,11
Mercedes-Benz,109999,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,3
Lexus,14500,sedan,160,3,Petrol,yes,2006,GS 300,rear,13
Skoda,14500,sedan,130,1.9,Diesel,yes,2013,Octavia A5,front,6
Toyota,9300,sedan,170,1.8,Gas,yes,2006,Avensis,front,13
Volkswagen,34000,crossover,92,3,Diesel,yes,2012,Touareg,full,7
Kia,8800,crossover,102,2,Diesel,yes,2008,Sportage,full,11
VAZ,1600,sedan,70,1.2,Petrol,yes,1986,2101,rear,33
Mitsubishi,2800,sedan,150,2,Gas,yes,1996,Galant,front,23
Land Rover,78900,crossover,55,3,Diesel,yes,2014,Range Rover Sport,full,5
